sim_idx,mpi_era,activity,institution_ID,source_ID,Resolution,experiment_ID,member_ID,table ID,variable,grid_label,version,data_node/0,data_node,url,number_of_files,date_start,date_stop,start_count,year_step,size,grid,nominal_resolution
57,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,MR,historical,r3i1p1f3,Omon,zos,gn,v20200601,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,10,185001,201412,0,20,5518460414,Native eORCA025 tripolar primarily 1/4 deg grid; 1440 x 1205 longitude/latitude,25 km
58,CMIP6,CMIP,MOHC,HadGEM3-GC31-MM,MR,historical,r4i1p1f3,Omon,zos,gn,v20200601,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,10,185001,201412,0,20,5520874527,Native eORCA025 tripolar primarily 1/4 deg grid; 1440 x 1205 longitude/latitude,25 km
59,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i1p1f1,Omon,zos,gn,v20170921,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259567726,N96,250 km
60,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i2p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259474811,N96,250 km
61,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i3p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259447221,N96,250 km
62,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i4p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259527656,N96,250 km
63,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i5p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259582136,N96,250 km
64,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i6p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259244574,N96,250 km
65,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i7p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,259122455,N96,250 km
66,CMIP6,HighResMIP,MOHC,HadGEM3-GC31-LL,LR,hist-1950,r1i8p1f1,Omon,zos,gn,v20190418,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,258869407,N96,250 km
67,CMIP6,HighResMIP,INM,INM-CM5-H,HR,hist-1950,r1i1p1f1,Omon,zos,gr1,v20190812,esgf3.dkrz.de,esgf3.dkrz.de,http://esgf3.dkrz.de/thredds/fileServer/,2,195001,201412,0,50,110727631,gs2x1.5,100 km
68,CMIP6,HighResMIP,MPI-M,MPI-ESM1-2-XR,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20180606,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,1332807441,native atmosphere T255 gaussian grid (768x384 lonxlat) with 95 levels and top level 0.01 hPa; native ocean TP04 tri-polar grid (802x404 lonxlat) with 40 levels,50 km
69,CMIP6,HighResMIP,MPI-M,MPI-ESM1-2-HR,HR,hist-1950,r1i1p1f1,Omon,zos,gn,v20180606,esgf-data3.ceda.ac.uk,esgf-data3.ceda.ac.uk,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/,65,195001,201412,0,1,1336269348,native atmosphere T127 gaussian grid (384x192 lonxlat) with 95 levels and top level 0.01 hPa; native ocean TP04 tri-polar grid (802x404 lonxlat) with 40 levels,50 km
